STRIDE_Category,CIAAA_Category,Requirement,Keywords
Denial of Service,Availability,The system shall incorporate a hard lock-out when the user is actively attacking the system until investigation is completed.,lock-out;hard lock-out;login;login attacks;user login;user login attack;lock out;hard lock out;lock;lock-out account;lock out account;locked out;locked out user accounts;account locked;locked account;intrusion;locked out account;
Denial of Service,Availability,The system shall prevent attacker from using automated attacks to lock users out of the system.,captcha;automated attacks;attacks;locked accounts;user account locked out;lock;account locked out;zombie bot attack;zombie bots;zombie attack;bot attack;bot army;bots;
Denial of Service,Availability,The system shall implement log rotation to archive dated log files and store the archive on a separate partition from the OS/application to prevent a denial of service attack or downgrading performance.,log;store;archive;rotation;downgrade;downgrading;performance;dos;denial of service;attack;denial of service attack;downgrading performance;log rotation;switching logs;rotating logs;
Denial of Service,Availability,The system shall incorporate a timeout for regular expression execution.,regular expression;regex;timeout;time-out;timer;regex timer;regular expression timer;
Denial of Service,Availability,The system shall incorporate fail-safe defaults.,fail-safe mechanism;fail-safe;fail;safe;fail-safe default;fail safe;fail safe mechanism;
Denial of Service,Availability,The system shall implement an incident responce or recovery plan.,incident responce;recovery plan;plan;recovery;incident;responce;action plan;incident responce plan;incident report;incident report plan;recovery report;report;incident report plan;recovery report plan;
Spoofing ,Authenticity,The system shall ensure that X.509 certificates are issued by an approved certificate authority.,certificates;X509;X. 509;X.509;certificate authority;certificate;approved certificate;verified certificate;X.509 certificate;
Spoofing ,Authenticity,The system shall verify X.509 certificates used for authentication of SSL and TLS connections.,verify X.509;X509 verified;SSL;TLS;SSL connection;TLS connection;certificate;verify ceritificate;X509;X. 509;X.509 certificates;X. 509 certificates; X509 certificates;
Spoofing ,Authenticity,The system shall implement the security policy rules created for cryptographic protection of information.,security policy;security rucrles;security policy rules;rules;crypto;crypto policy;cryptographic policy;cryptographic policy rule;
Spoofing ,Authenticity,The system shall incorporate a soft lock-out to disable a user account after multiple failed authentication attempts.,credential stuffing;brute force;stolen credentials;soft lock-out;disable;disable user account;failed authentication;failed authentication attempts;locked account;multiple authentication attempts;lock;intrusion;lock-out;locked out;account locked;account lock;user account;soft lockout;lockout;soft lock out;
Spoofing ,Authenticity,"The system shall ensure that user passwords meet the length and complexity requirements of modern, well-researched password policies.",password policy;password;user password;login password;secure password;strong password;complex;difficult;password length;password characters;length;characters;character;complexity;password requirements;password rules;length requirement;characters requirement;
Spoofing ,Authenticity,The system shall implement multi-factor authentication protocols.,MFA;authentication;login;password;authentication protocals;login authentication;multi-factor authentication;multifactor authentication;multi factor authentication;
Spoofing ,Authenticity,"The system shall ensure that session tokens are randomly generated with high entropy by a secure, server-side session manager.",tokens;sessions;replay;session tokens;token;session;server;server-side;side;manager;secure;token;
Spoofing ,Authenticity,The system shall ensure that API resources are only accessible to authenticated clients.,api;api resources;authenticated clients;valid;valid clients;clients;accessible client;
Spoofing ,Authenticity,The system shall ensure that IoT devices can be uniquely identified.,IoT;IoT device;IoT devices;uniquely identify;id;identification;system id;system identification;unique id;different id;unique identification;different identification;
Spoofing ,Authenticity,The system shall ensure IoT devices are authenticated by the field gateway before accepting data and communicating with the cloud storage gateway.,IoT;IoT device;IoT devices;field gateway;gateway;data;communication;cloud;cloud storage;cloud storage gateway;gateway;authenticate;communication with the cloud;
Tampering,Integrity,"The system shall monitor user management events including user registration, password reset, account lockout, and login attempt status.",monitor;user management;events;event;activities;user registration;password reset;account lockout;locked out account;user account;login;login attempts;login status;status;login attempt status;user login;user;manage
Tampering,Integrity,The system shall ensure that the database will implement login auditing to detect brute force attacks.,guessing;guessing passwords;password attack;guessing password attack;brute force;brute force attack;database;password attacks;login audit;login attempt;auditting;logging;log;
Tampering,Integrity,The system shall ensure communication between IP based devices are encapsulated in a TLS channel.,communication;internet protocal;ip;encapsulation;IPv4;IPv6;TLS;channel;transport layer communication;device communication;internet communication;transport layer channel;
Tampering,Integrity,The system shall ensure all communication between the database and client application is encrypted using Transport Layer Security (TLS). ,communication;database;database communication;client;client application;transport layer security;tls;transport layer;transport layer communication;client-side;client side;encrypted communication;secure communication;
Tampering,Integrity,The system shall only accept API requests received over HTTPS connections.,https;api;api request;request;https connection;connection;secure connection;secure http;secure;secure api
Tampering,Integrity,"The system shall implement server-side user input sanitization, filtering, and validation.","user input;input;server-side;filtering;validation;SQL injection;injection;injection vulnerabilities;SQL;LDAP;XPath;NoSQL;OS commands;XML parsers;SMTP header;expression language;ORM queries;object-relational mapping;input sanitization,sanitizing the input;sanitizing the user input;input sanitization;user input sanitization;filtering input;filtering user input;filtering user's input;input validation;user input validation;validate input;server-side input;"
